ID	duplicate_count
1	4
3	4
57	4
255	4
275	4
348	4
381	4
664	4
706	4
740	4
756	4
802	4
869	4
954	4
991	4
1024	4
1436	4
1459	4
1512	4
1600	4
1638	4
1777	4
1803	4
1841	4
1850	4
1884	4
1949	4
2020	4
2159	4
2166	4
2168	4
2266	4
2321	4
2410	4
2449	4
2467	4
2475	4
2544	4
2559	4
2588	4
2630	4
2693	4
2756	4
2777	4
2786	4
2880	4
2907	4
3073	4
3078	4
3079	4
3252	4
3371	4
3373	4
3470	4
3473	4
3484	4
3514	4
3559	4
3592	4
3613	4
3617	4
3744	4
3781	4
3782	4
3799	4
3888	4
3958	4
4010	4
4015	4
4031	4
4105	4
4156	4
4162	4
4188	4
4211	4
4632	4
4879	4
4938	4
4940	4
5014	4
5184	4
5311	4
5391	4
5401	4
5420	4
5424	4
5513	4
5541	4
5788	4
5904	4
5915	4
6073	4
6185	4
6191	4
6270	4
6409	4
6468	4
6519	4
6572	4
6648	4
6661	4
6711	4
6725	4
6749	4
6768	4
6773	4
6824	4
6875	4
6970	4
6982	4
6987	4
6999	4
7111	4
7156	4
7171	4
7237	4
7242	4
7246	4
7305	4
7315	4
7329	4
7344	4
7371	4
7431	4
7477	4
7485	4
7498	4
7586	4
7596	4
7626	4
7703	4
7705	4
7726	4
7746	4
7812	4
7814	4
7937	4
7987	4
8011	4
8032	4
8084	4
8108	4
8111	4
8222	4
8263	4
8295	4
8314	4
8340	4
8429	4
8470	4
8509	4
8617	4
8631	4
8638	4
8699	4
8714	4
8721	4
8751	4
8757	4
8771	4
8807	4
8866	4
8895	4
8948	4
8965	4
9106	4
9250	4
9402	4
9480	4
9488	4
9491	4
9529	4
9637	4
9647	4
9663	4
9666	4
9686	4
9711	4
9712	4
9721	4
9727	4
9734	4
9779	4
9803	4
9867	4
9929	4
9948	4
9959	4
10023	4
10174	4
10264	4
10410	4
10597	4
10609	4
10613	4
10680	4
10981	4
11077	4
11082	4
11108	4
11221	4
11271	4
11273	4
11382	4
11454	4
11471	4
11646	4
11690	4
11780	4
11783	4
12044	4
12086	4
12101	4
12125	4
12153	4
12181	4
12420	4
12489	4
12520	4
12521	4
12522	4
12537	4
12588	4
12623	4
12658	4
12678	4
12696	4
12763	4
12775	4
12788	4
12975	4
13242	4
13289	4
13310	4
13336	4
13342	4
13417	4
13435	4
13515	4
13538	4
13540	4
13576	4
13595	4
13637	4
13690	4
13757	4
13783	4
13837	4
13868	4
14077	4
14095	4
14120	4
14148	4
14169	4
14173	4
14188	4
14191	4
14219	4
14270	4
14284	4
14327	4
14355	4
14365	4
14392	4
14496	4
14601	4
14629	4
14704	4
14759	4
14796	4
14857	4
14888	4
14903	4
14908	4
14930	4
14980	4
15029	4
15038	4
15076	4
15116	4
15177	4
15305	4
15359	4
15407	4
15559	4
15569	4
15574	4
15585	4
15599	4
15627	4
15668	4
15748	4
15767	4
15804	4
15899	4
15984	4
16030	4
